Field	Retain?	Incoming Subfields	TIND Subfields	Label	MARC Definition	Instructions	Comments / Details
310	drop				Current Publication Frequency		
321	drop				Former Publication Frequency		
336	drop				Content Type		
336__a	drop				V2F_PUB_TYPE	Assign type of digital resource (Image, Video, etc.) from controlled list	
337	drop				Media Type		
338	drop				Carrier Type		
340	drop				Physical Medium		
341	drop				Accessibility Content		
342	drop				Geospatial Reference Data		
342_0c	drop				Sheet Name	Record here Sheet Name only for map collections	
342_0d	drop				Sheet Number	Record here Sheet Number only for map collections	
343	drop				Planar Coordinate Data		
344	drop				Sound Characteristics		
345	drop				Projection Characteristics of Moving Image		
346	drop				Video Characteristics		
347	drop				Digital File Characteristics		
348	drop				Format of Notated Music		
351	move data, drop	a, b			Organization and Arrangement	Combine $a and $b and move data to 505__a	
352	drop				Digital Graphic Representation		
355	drop				Security Classification Control		
357	drop				Originator Dissemination Control		
362	drop				Dates of Publication and/or Sequential Designation		
363	drop				Normalized Date and Sequential Designation		
365	drop				Trade Price		
366	drop				Trade Availability Information		
370	drop				Associated Place		
377	drop				Associated Language		
380	drop				Form of Work		
381	drop				Other Distinguishing Characteristics of Work		
382	drop				Medium of Performance		
383	drop				Numeric Designation of Musical Work		
384	drop				Key		
385	drop				Audience Characteristics		
386	drop				Creator/Contributor Characteristics		
388	drop				Time Period of Creation		
490__	retain	a, v	a		Series Statement	Combine into $a	
500__	retain	a	a, 3		General Note	Append $3 when more information about the type of note is desired	For note fields coming in from METS, assign to $3 the value of the @type attribute when the field maps to 500.
501	drop				With Note		
502__	retain	a, b, c, d, g, o	a		Dissertation Note	Combine into single $a	
504	drop				Bibliography, etc. Note		
505__	retain	a, g, r, t	a		Formatted Contents Note	Combine into single $a	
506	move data, drop	a			Restrictions on Access Note	Move data to 542__f	
507	move data, drop	a	a		Scale Note for Graphic Material	Move data to 255__a unless 255__a already present. 	
508	drop				Creation/Production Credits Note		
510	drop				Citation/References Note		
511	drop				Participant or Performer Note		
513	drop				Type of Report and Period Covered Note		
514	drop				Data Quality Note		
515	drop				Numbering Peculiarities Note		
516	drop				Type of Computer File or Data Note		
518	drop				Date/Time and Place of an Event Note		
520__	retain	a	a		Summary, etc.		
521	drop				Target Audience Note		
522__	retain	a	a		Geographic Coverage Note		
524__	retain	a	a		Preferred Citation		
525	drop				Supplement Note		
526	drop				Study Program Information Note		
530	drop				Additional Physical Form available Note		
532	drop				Accessibility Note		
533	drop				Reproduction Note		
534	drop				Original Version Note		
535	drop				Location of Originals/Duplicates Note		
536__	retain	a	a		Funding Information Note		note (@type="funding")
538	drop				System Details Note		
540__	retain	a, b	a		Terms Governing Use and Reproduction Note		Permission to publish/print etc.
541__	retain	c, a, d	a		Immediate Source of Acquisition Note		
542__	retain	f	f		Restrictions		Copyright statements
544	drop				Location of Other Archival Materials Note		
545__	retain	a	a		Biographical or Historical Data		
546__	retain	a	a		Language Note		
547	drop				Former Title Complexity Note		
550	drop				Issuing Body Note		
552	drop				Entity and Attribute Information Note		
555	drop				Cumulative Index/Finding Aids Note		
556	drop				Information About Documentation Note		
561	drop				Ownership and Custodial History		
562	drop				Copy and Version Identification Note		
563	drop				Binding Information		
565	drop				Case File Characteristics Note		
567	drop				Methodology Note		
580	drop				Linking Entry Complexity Note		
581	drop				Publications About Described Materials Note		
583	drop				Action Note		
584	drop				Accumulation and Frequency of Use Note		
585	drop				Exhibitions Note		
586	drop				Awards Note		
588	drop				Source of Description, Etc. Note		
590	drop				Local Note		
600__	retain	a, b, c, d, f, j, k, l, m, n, o, p, q, r, s, t, v, x, y, z	a		Subject Personal Name	Combine subfields into $a. Supply ISBD punctuation	Replace $x, $y, $z, $v with " -- ". Replace all other subfields with a space
610__	retain	a, b, c, d, f, j, k, l, m, n, o, p, q, r, s, t, v, x, y, z	a		Subject Corporate Name	Combine subfields into $a. Supply ISBD punctuation	Replace $x, $y, $z, $v with " -- ". Replace all other subfields with a space
611__	retain	a, b, c, d, f, j, k, l, m, n, o, p, q, r, s, t, v, x, y, z	a		Subject Meeting Name	Combine subfields into $a. Supply ISBD punctuation	Replace $x, $y, $z, $v with " -- ". Replace all other subfields with a space
630__	retain	a, b, c, d, f, j, k, l, m, n, o, p, q, r, s, t, v, x, y, z	a		Subject Uniform Title	Combine subfields into $a. Supply ISBD punctuation	Replace $x, $y, $z, $v with " -- ". Replace all other subfields with a space
647	drop				Subject Named Event		
648	drop				Subject Chronological Term		
650__	retain	a, b, c, v, x, y, z	a		Subject Topical Term	Combine subfields into $a. Supply ISBD punctuation	Replace $x, $y, $z, $v with " -- ". Replace all other subfields with a space
651__	retain	a, v, x, y, z	a		Subject Geographic Name	Combine subfields into $a. Supply ISBD punctuation	Replace $x, $y, $z, $v with " -- ". Replace all other subfields with a space
653	drop				Index Term - Uncontrolled		
654	drop				Faceted Topical Terms		
655__	retain	a, v, x, y, z, 2	a, 2		Genre/Form	Combine subfields a,v,x,y,z into $a. Supply ISBD punctuation	Replace $x, $y, $z, $v with " -- ". 
656	drop				Occupation		
657	drop				Function		
658	drop				Curriculum Objective		
662	drop				Hierarchical Place Name		
69X	drop				Local Subject Access Fields		
7001_	retain	6, a, b, c, d, e, q	6, a, e		Personal Name	Combine subfields a, b, c, d into $a. Retain subfield e in $e	
7102_	retain	6, a, b, e	6, a, e		Corporate Name	Combine subfields a, b into $a. Retain subfield e in $e	Note: $b is often repeated
711__	retain	6, a, c, d, e, f, n, p, t	6, a, e		Meeting Name	Combine subfields into $a.	
720	move data, drop	a, e			Added Entry-Uncontrolled Name	Move data to 7001_	
730	drop				Uniform Title		
740	drop				Added Entry–Uncontrolled Related/Analytical Title		
747	drop				Named Event		
748	drop				Chronological Term		
750	drop				Topical Term		
751	drop				Geographic Name		
752	move data, drop	a, b, c, d, f, g			Hierarchical Place Name	Move data to 651__a	Replace subfields with " -- "
753	drop				System Details Access to Computer Files		
754	drop				Taxonomic Identification		
755	drop				Genre/Form Term		
758	drop				Resource Identifier		
760	drop				Main Series Entry (OCLC)		
762	drop				Medium of Performance Term		
765	drop				Original Language Entry		
767	drop				Translation Entry		
770	drop				Supplement/Special Issue Entry		
772	drop				Supplement Parent Entry		
773__	retain	t, j, k, o	t, j, k, o		Host Item Entry		
774	drop				Constituent Unit Entry		
775	drop				Other Edition Entry		
776	drop				Additional Physical Form		
777	drop				Issued With Entry		
778	drop				Other Edition Entry		
780	drop				Preceding Entry		
781	drop				Subdivision Linking Entry - Geographic Subdivision		
782	drop				Subdivision Linking Entry - Chronological Subdivision		
785	drop				Subdivision Linking Entry - Form Subdivision		
786	drop				Subdivision Linking Entry - Data Source Entry		
787	drop				Subdivision Linking Entry - Other Relationship Entry		
788	drop				Subdivision Linking Entry - Complex Linking Entry Data		
799	drop				Local "hook" for batch loads 		
800	drop				Series APersonal Name		
810	drop				Series Corporate Name		
811	drop				Series Meeting Name		
830	drop				Series Added Entry		
851	drop				Physical Location		This is now added from column in spreadsheet
852__	drop				Location /Archive/Repository		This is now added from column in spreadsheet
856	drop				Electronic Location and Access	Use for our own web links	
880__$6245	retain and copy	6, a, b, p, n	6, a, b, p		Non-Roman Scripts	Process/combine subfields like for 245. Then copy to 912 without $6	Native treatment of 880 coming in a future enhancement. Retain for that update but for now copy to 912
880__$6260	retain and copy	6, a, b, c	6, a, b, c		Non-Roman Scripts	Process/combine subfields like for 260. Then copy to 913 without $6	
880__$6100	retain and change $6 value						Change $6 value from "100-1" to "700-1";  Make sure indicator to be [1,""]; Make sure subfields are in the original order:  $6,$a,$d
883	drop				Machine-generated Metadata Provenance		
884	drop				Description Conversion Information		
885	drop				Matching Information		
907	move data, drop	a			Millennium Record Number	Trim to b + 8 digits. Move to 901 $m and use in link to catalog record 856	Delete initial period and final check-digit, e.g.,  .b10280302x -> b10280302
9XX	drop				Drop all other 9XX fields		
							
							
 Local TIND 9XX Fields to ADD 							
Reminder: Fields 901, 902, 903 are not repeatable. All applicable subfields should be written to a single field. E.g., $a, $f, $g, $m, $o all go in the same 901 field.							
901__a					Ark identifier for METS file	Required when applicable	901 is internal field used for IDENTIFIERS
901__f					Ark identifier for finding aid	Optional	
901__g					PJID:DBID from GenDB	Required when applicable	
901__m					Millennium record number	Optional	
901__o					OCLC Number	Optional	Strip off initial letters, e.g., ocm, ocn, etc. and all initial zeroes. e.g., ocm00080599 -> 80599
902__d					Date of batch file creation	Required	902 is internal field use for RECORD CREATION DETAILS. It's good policy to fill in the optional fields too
902__f					METS filename or other file used as source of data	Required when applicable for METS filenames	
902__n					Batch uploader's initials	Required	
902__p					Description of the process and programs used	Optional	
903__b					Bibliographic level		903 is used for various BIBLIOGRAPHIC CODES from the MARC record
950__a					Local/Administrative Notes	Use for local notes. Optionally $3 for note type	950 is repeatable and can be used for internal administrative notes. Especially useful for pulling together records of administrative interest. Example: $aMissing Cal Heritage Images
982__a					Short collection name	Displays in facet. REQUIRED	Every batchload must have 982 $a and $b. Use only from master spreadsheet of collection names
982__b					Long collection name	Displays in record. REQUIRED	
982__p					Project Name	May display in record -- NOT REQUIRED	
991					Restricted	Create restricted collection 991__a and create roles that can access each. When setting an existing collection to dark, add it to this collection by updating the record 991 field. When two collections are associated with a record, the most restrictive policy applies	Examples: 991__a = "Restricted2Bancroft" 991__a = "Restricted2EAL" 991__a = "Restricted2Admin" Example restricted record: https://digicoll.lib.berkeley.edu/record/55168
852__c					Library Location	REQUIRED	Use 852 -- Repository column from spreadsheet
998					AV streaming		
02480					Local Identifier/Call number		
